股票代码,股票名称,POC价格,VA上界,VA下界,最低价,最高价,K线数量
300917,特发服务,45.26,50.22,22.92,17.34,79.37,484
2543,万和电气,11.2,11.78,8.17,6.94,14.17,484
688660,电气风电,8.62,20.8,3.0,2.77,26.18,484
2073,软控股份,8.75,9.11,7.65,4.19,10.27,484
2019,亿帆医药,11.96,14.89,10.72,8.95,16.66,484
300276,三丰智能,10.86,11.98,3.31,2.89,16.88,484
2368,太极股份,24.8,29.83,21.71,13.8,33.11,484
2690,美亚光电,15.08,20.45,14.19,11.62,22.8,484
2408,齐翔腾达,5.09,5.35,4.62,3.67,6.25,484
300184,力源信息,5.8,12.47,4.46,3.24,14.36,484
1339,智微智能,28.97,55.75,26.64,19.07,77.3,484
2979,雷赛智能,20.21,51.1,16.57,11.57,57.0,484
2947,恒铭达,33.88,44.51,28.56,18.26,51.49,484
2338,奥普光电,30.01,49.92,26.87,17.96,70.35,484
2268,电科网安,17.8,19.37,15.45,11.39,24.47,484
2093,国脉科技,11.5,13.23,7.16,4.88,15.73,968
300008,天海防务,7.05,7.45,3.71,2.98,9.65,484
2557,洽洽食品,22.74,31.08,21.59,20.87,35.25,484
300401,花园生物,15.61,16.48,13.66,7.48,18.32,484
2487,大金重工,23.75,50.64,19.26,16.13,60.95,484
2779,中坚科技,23.06,128.81,17.77,13.8,146.0,484
1203,大中矿业,9.46,19.2,7.75,6.89,35.52,968
2531,天顺风能,7.37,10.68,6.63,6.08,12.21,484
300100,双林股份,7.64,50.46,6.54,3.8,58.7,968
2045,国光电器,15.95,21.88,12.52,9.56,25.15,484
2149,西部材料,18.14,19.99,14.13,9.66,25.08,484
612,焦作万方,7.47,8.89,5.26,3.76,11.65,484
300493,润欣科技,20.79,28.9,7.06,4.25,35.45,484
1227,兰州银行,2.43,2.51,2.28,1.99,2.79,484
2867,周大生,13.33,14.19,10.74,9.11,17.72,484
1356,富岭股份,14.81,15.83,13.79,12.94,29.92,210
2611,东方精工,12.38,18.76,4.87,3.55,22.33,484
2892,科力尔,13.8,16.0,7.41,5.33,17.6,484
544,中原环保,8.04,8.76,6.52,5.31,9.79,484
2897,意华股份,41.85,46.85,36.23,25.29,56.54,484
2791,坚朗五金,22.51,30.8,21.04,19.83,44.21,484
300009,安科生物,8.63,11.94,8.27,7.15,13.06,484
2881,美格智能,44.88,56.27,19.81,15.83,72.79,968
300468,四方精创,8.54,48.36,8.54,6.23,52.53,484
300337,银邦股份,7.43,18.49,6.39,4.49,21.77,968
603508,思维列控,17.8,32.49,15.17,9.14,35.37,484
603119,浙江荣泰,20.07,97.85,13.76,12.71,117.82,484
600129,太极集团,21.52,37.82,19.64,18.7,50.05,484
300718,长盛轴承,14.07,101.41,11.94,10.87,117.39,484
603395,红四方,35.52,46.95,33.23,29.8,144.11,251
